id,posx,posy,name,unlock
1,745,20,Physical Attack + 50,no
2,805,20,Physical Attack + 50,no
3,865,20,All stats +50 (excluding BP),Unlock at level 99
4,590,75,Evade + 60,no
5,650,75,Evade + 60,no
6,710,75,WIP 0,Unlock at level 80
7,775,75,WIP + 10,no
8,315,130,Aim + 200,no
9,375,130,Evade + 200,no
10,435,130,HP + 100,no
11,620,130,Evasion Rate + 5%,no
12,680,130,Physical Attack + 300,no
13,745,130,Critical Power + 300,no
14,805,130,Aim + 400,no
15,405,185,Evasion Rate + 2%,no
16,530,185,Evasion Rate + 4%,no
17,590,185,Evade + 40,no
18,650,185,Evade + 40,no
19,710,185,WIP + 10,no
20,775,185,Critical Power + 200,no
21,835,185,Physical Attack + 200,no
22,895,185,Critical Power + 200,no
23,375,245,Aim + 100,no
24,440,245,Evade + 100,no
25,500,245,Evasion Rate + 2%,no
26,560,245,Evade + 20,no
27,620,245,Physical Attack + 200,no
28,680,245,Critical Power + 200,no
29,745,245,HP + 300,no
30,805,245,WIP + 5%,no
31,165,300,Aim + 200,no
32,285,300,HP + 200,no
33,405,300,Evade + 200,no
34,465,300,Aim + 100,no
35,530,300,WIP 5%,Unlock at level 50
36,590,300,Evade + 20,no
37,650,300,Physical Attack + 300,Unlock at level 94 (Thief)
38,710,300,WIP + 5,no
39,775,300,Critical Rate + 100,no
40,835,300,HP + 200,no
41,190,355,Evade + 200,no
42,255,355,Evasion Rate + 3%,no
43,315,355,Critical Rate + 100,no
44,375,355,Aim + 200,no
45,440,355,Middle Row : Evade + 10%,Unlock at level 30
46,500,355,Evade + 100,no
47,560,355,Physical Attack + 200,Unlock at level 87 (Thief)
48,620,355,HP + 200,Unlock at level 91 (Thief)
49,680,355,Physical Defense + 300,Unlock at level 97 (Thief)
50,745,355,Critical Power + 200,no
51,40,410,All stats +50 (excluding BP),Unlock at level 99
52,165,410,Aim + 400,no
53,225,410,Critical Rate + 200,no
54,285,410,BP + 2,no
55,345,410,Evasion Rate + 3%,no
56,405,410,HP + 300,Unlock at level 98 (Thief)
57,530,410,Evasion Rate + 1%,no
58,590,410,Physical Attack + 100,Unlock at level 81 (Thief)
59,710,410,Front Row : Physical Attack + 10%,Unlock at level 30
60,775,410,Physical Attack + 200,no
61,835,410,Critical Power + 100,no
62,955,410,Critical Power + 200,no
63,70,465,Evade + 50,no
64,130,465,Evasion Rate + 3%,no
65,190,465,Critical Rate + 300,no
66,255,465,Evasion Rate + 2%,no
67,315,465,Critical Rate + 200,no
68,375,465,Aim + 300,Unlock at level 95 (Thief)
69,440,465,Magical Defense + 250,Unlock at level 92 (Thief)
70,500,465,Critical Power + 100,Unlock at level 83 (Thief)
71,620,465,WIP 10,no
72,680,465,Physical Attack + 100,no
73,745,465,Critical Power + 100,no
74,805,465,Physical Attack + 100,no
75,865,465,WIP + 2,no
76,925,465,Physical Attack + 200,no
77,100,520,Physical Attack + 50,no
78,160,520,WIP - 5,Unlock at level 80
79,225,520,Evade + 300,no
80,285,520,Physical Attack + 40,no
81,345,520,Evade + 200,no
82,405,520,Evade + 20,no
83,470,520,Evade + 200,Unlock at level 89 (Thief)
84,530,520,Special Attack Reload - 1 second,no
85,590,520,Evade + 100,Unlock at level 85 (Thief)
86,650,520,Critical Rate + 200,Unlock at level 90 (Thief)
87,710,520,WIP 5%,Unlock at level 50
88,775,520,WIP + 2,no
89,895,520,HP + 100,no
90,195,575,Physical Attack + 60,no
91,255,575,Auto Attack Reload - 0.1 second,no
92,315,575,Evade + 40,no
93,375,575,Physical Attack + 20,no
94,435,575,WIP + 5%,Unlock at level 50
95,500,575,Physical Defense + 100,no
96,620,575,Evade + 250,Unlock at level 93 (Thief)
97,680,575,Physical Attack + 20,no
98,740,575,Physical Attack + 20,no
99,805,575,WIP + 8,no
100,225,630,Evade + 60,no
101,345,630,Special Attack Reload - 4 second,no
102,405,630,Auto Attack Reload - 0.1 second,no
103,470,630,Magical Defense + 100,no
104,530,630,Front and Middle Row : Magical Defense + 5%,Unlock at level 30
105,590,630,Physical Attack + 400,Unlock at level 99 (Thief)
106,650,630,Critical Power + 300,Unlock at level 96 (Thief)
107,715,630,Physical Defense + 200,no
108,775,630,Physical Attack + 40,no
109,435,685,Physical Defense + 100,no
110,500,685,Physical Defense + 200,no
111,560,685,Magical Defense + 200,no
112,620,685,Special Attack Reload - 3 second,no
113,680,685,Magical Defense + 200,no
114,740,685,Physical Attack + 40,no
115,805,685,WIP + 8,no
116,865,685,Physical Attack + 60,no
117,345,740,Magical Defense + 200,no
118,405,740,Special Attack Reload - 2 second,no
119,470,740,Magical Defense + 100,no
120,590,740,HP + 200,no
121,650,740,HP + 300,no
122,715,740,Special Attack Reload - 2 second,no
123,775,740,Physical Defense + 300,no
124,835,740,Physical Attack + 60,no
125,375,795,Magical Defense + 200,no
126,560,795,Critical Rate + 200,no
127,620,795,Auto Attack Reload - 0.1 second,no
128,680,795,Physical Defense + 200,no
129,740,795,Magical Defense + 300,no
130,805,795,WIP + 10,Unlock at level 80
131,405,850,BP + 2,no
132,650,850,Magical Defense + 200,no
133,710,850,Aim + 400,no
134,775,850,Special Attack Reload - 3 second,no
135,835,850,Evade + 50,no
136,620,905,BP + 2,no
137,805,905,Evade + 50,no
138,775,965,All stats +50 (excluding BP),Unlock at level 99
